alpha_4,alpha_5,alpha_sum,alpha_diff,tau_p_years,w_0,theta_23_deg,m_KK_TeV,chi_squared
-9.5,-4.0,-13.5,-5.5,8.365370576728484e+34,-0.68,28.5,51.53882032022076,1866.0326003399136
-9.5,-3.5,-13.0,-6.0,6.004225096426034e+34,-0.6923076923076923,27.0,50.62114182829147,1799.9527734645703
-9.5,-3.0,-12.5,-6.5,4.204669297777014e+34,-0.7037037037037037,25.5,49.81214711292819,1751.6667533096388
-9.5,-2.5,-12.0,-7.0,2.8599372623103418e+34,-0.7142857142857143,24.0,49.11720676097125,1716.9233738826001
-9.5,-2.0,-11.5,-7.5,1.8784563182634937e+34,-0.7241379310344828,22.5,48.54121959736899,1693.2648000535728
-9.5,-1.5,-11.0,-8.0,1.1822423784986317e+34,-0.7333333333333333,21.0,48.08846015417836,1679.3587611994526
-9.5,-1.0,-10.5,-8.5,7.05465986806433e+33,-0.7419354838709677,19.5,47.762432936356994,1674.5520563070631
-9.5,-0.5,-10.0,-9.0,3.931697815453764e+33,-0.75,18.0,47.56574397610111,1678.5803274285604
-9.5,0.0,-9.5,-9.5,2.001204288328265e+33,-0.7575757575757576,16.5,47.5,1691.3859958120345
-9.5,0.5,-9.0,-10.0,8.978011464706634e+32,-0.7647058823529411,15.0,47.56574397610111,1713.009177923684
-9.5,1.0,-8.5,-10.5,3.338445909878388e+32,-0.7714285714285715,13.5,47.762432936356994,1743.5262387566167
-9.5,1.5,-8.0,-11.0,9.115263254380093e+31,-0.7777777777777778,12.0,48.08846015417836,1783.0180911700945
-9.5,2.0,-7.5,-11.5,1.3578503151017122e+31,-0.7837837837837838,10.5,48.54121959736899,1831.5559520744735
-9.5,2.5,-7.0,-12.0,3.394520281663265e+29,-0.7894736842105263,9.0,49.11720676097125,1889.1964386747434
-9.5,3.0,-6.5,-12.5,2.0723637867290417e+28,-0.7948717948717948,7.5,49.81214711292819,1955.9809574650294
-9.5,3.5,-6.0,-13.0,5.18360316444493e+30,-0.8,6.0,50.62114182829147,2031.9365602963408
-9.5,4.0,-5.5,-13.5,4.751439824596313e+31,-0.8048780487804879,4.5,51.53882032022076,2117.0770152599407
-9.5,4.5,-5.0,-14.0,1.9345824921272873e+32,-0.8095238095238095,3.0,52.55949010407159,2211.40392183176
-9.5,5.0,-4.5,-14.5,5.40287846977837e+32,-0.813953488372093,1.5,53.67727638395971,2314.908412260137
-9.5,5.5,-4.0,-15.0,1.2125625946766455e+33,-0.8181818181818182,0.0,54.886246000250374,2427.5744201182406
-9.5,6.0,-3.5,-15.5,2.3589385682719297e+33,-0.8222222222222222,-1.5,56.180512635610576,2549.384736269135
-9.5,6.5,-3.0,-16.0,4.149293892342705e+33,-0.8260869565217391,-3.0,57.554322166106694,2680.3311689380453
-9.5,7.0,-2.5,-16.5,6.772137919245839e+33,-0.8297872340425532,-4.5,59.002118606029725,2820.430121191952
-9.5,7.5,-2.0,-17.0,1.043227594275018e+34,-0.8333333333333334,-6.0,60.51859218455102,2969.7448281879215
-9.5,8.0,-1.5,-17.5,1.5348704143222092e+34,-0.8367346938775511,-7.5,62.09871174187111,3128.4153820471247
-9.5,8.5,-1.0,-18.0,2.17527120958677e+34,-0.84,-9.0,63.73774391990981,3296.697531758369
-9.5,9.0,-0.5,-18.5,2.9886172515967415e+34,-0.8431372549019608,-10.5,65.43126164151201,3475.0110919116187
-9.5,9.5,0.0,-19.0,4e+34,-0.8461538461538461,-12.0,67.175144212722,3663.998636481574
-9.5,10.0,0.5,-19.5,5.235276237922661e+34,-0.8490566037735849,-13.5,68.96557112066861,3864.5949987799168
-9.0,-10.0,-19.0,1.0,1.2384933315436545e+36,-0.42857142857142855,48.0,67.26812023536856,13210.349285259977
-9.0,-9.5,-18.5,0.5,1.015808586370765e+36,-0.4666666666666667,46.5,65.43126164151201,9644.29287629648
-9.0,-9.0,-18.0,0.0,8.276636289306538e+35,-0.5,45.0,63.63961030678928,7152.539816360019
-9.0,-8.5,-17.5,-0.5,6.694716823155015e+35,-0.5294117647058824,43.5,61.89709201569974,5423.009354825505
-9.0,-8.0,-17.0,-1.0,5.371802786773031e+35,-0.5555555555555556,42.0,60.20797289396148,4229.295490768238
-9.0,-7.5,-16.5,-1.5,4.272118163492811e+35,-0.5789473684210527,40.5,58.5768725692999,3408.565006427209
-9.0,-7.0,-16.0,-2.0,3.364111271903339e+35,-0.6,39.0,57.00877125495689,2844.849666889758
-9.0,-6.5,-15.5,-2.5,2.619991600004919e+35,-0.6190476190476191,37.5,55.50900827793629,2456.4718886526903
-9.0,-6.0,-15.0,-3.0,2.0153200939582397e+35,-0.6363636363636364,36.0,54.083269131959845,2186.6302968593714
-9.0,-5.5,-14.5,-3.5,1.528646246496518e+35,-0.6521739130434783,34.5,52.73755777432246,1996.3937147300499
-9.0,-5.0,-14.0,-4.0,1.1411862265309886e+35,-0.6666666666666666,33.0,51.478150704935004,1859.524155762896
-9.0,-4.5,-13.5,-4.5,8.365370576728484e+34,-0.68,31.5,50.31152949374526,1758.6826998855283
-9.0,-4.0,-13.0,-5.0,6.004225096426034e+34,-0.6923076923076923,30.0,49.244289008980516,1682.6754639707801
-9.0,-3.5,-12.5,-5.5,4.204669297777014e+34,-0.7037037037037037,28.5,48.28301978956992,1624.4769535881096
-9.0,-3.0,-12.0,-6.0,2.8599372623103418e+34,-0.7142857142857143,27.0,47.43416490252569,1579.8301041040506
-9.0,-2.5,-11.5,-6.5,1.8784563182634937e+34,-0.7241379310344828,25.5,46.703854230673514,1546.2703095703982
-9.0,-2.0,-11.0,-7.0,1.1822423784986317e+34,-0.7333333333333333,24.0,46.09772228646444,1522.4578194718792
-9.0,-1.5,-10.5,-7.5,7.05465986806433e+33,-0.7419354838709677,22.5,45.62071897723665,1507.7314830822254
-9.0,-1.0,-10.0,-8.0,3.931697815453764e+33,-0.75,21.0,45.27692569068709,1501.8188279983383
-9.0,-0.5,-9.5,-8.5,2.001204288328265e+33,-0.7575757575757576,19.5,45.069390943299865,1504.6543456238853
-9.0,0.0,-9.0,-9.0,8.978011464706634e+32,-0.7647058823529411,18.0,45.0,1516.2707697922408
-9.0,0.5,-8.5,-9.5,3.338445909878388e+32,-0.7714285714285715,16.5,45.069390943299865,1536.7379697184313
-9.0,1.0,-8.0,-10.0,9.115263254380093e+31,-0.7777777777777778,15.0,45.27692569068709,1566.1315307192967
-9.0,1.5,-7.5,-10.5,1.3578503151017122e+31,-0.7837837837837838,13.5,45.62071897723665,1604.5187054852017
-9.0,2.0,-7.0,-11.0,3.394520281663265e+29,-0.7894736842105263,12.0,46.09772228646444,1651.9536032845313
-9.0,2.5,-6.5,-11.5,2.0723637867290417e+28,-0.7948717948717948,10.5,46.703854230673514,1708.47656831743
-9.0,3.0,-6.0,-12.0,5.18360316444493e+30,-0.8,9.0,47.43416490252569,1774.1149333880523
-9.0,3.5,-5.5,-12.5,4.751439824596313e+31,-0.8048780487804879,7.5,48.28301978956992,1848.8839181785206
-9.0,4.0,-5.0,-13.0,1.9345824921272873e+32,-0.8095238095238095,6.0,49.244289008980516,1932.7875278547604
-9.0,4.5,-4.5,-13.5,5.40287846977837e+32,-0.813953488372093,4.5,50.31152949374526,2025.8200201563168
-9.0,5.0,-4.0,-14.0,1.2125625946766455e+33,-0.8181818181818182,3.0,51.478150704935004,2127.968944242475
-9.0,5.5,-3.5,-14.5,2.3589385682719297e+33,-0.8222222222222222,1.5,52.73755777432246,2239.220988006219
-9.0,6.0,-3.0,-15.0,4.149293892342705e+33,-0.8260869565217391,0.0,54.083269131959845,2359.571960625853
-9.0,6.5,-2.5,-15.5,6.772137919245839e+33,-0.8297872340425532,-1.5,55.50900827793629,2489.042227996466
-9.0,7.0,-2.0,-16.0,1.043227594275018e+34,-0.8333333333333334,-3.0,57.00877125495689,2627.698843300689
-9.0,7.5,-1.5,-16.5,1.5348704143222092e+34,-0.8367346938775511,-4.5,58.5768725692999,2775.6854974962657
-9.0,8.0,-1.0,-17.0,2.17527120958677e+34,-0.84,-6.0,60.20797289396148,2933.261272401085
-9.0,8.5,-0.5,-17.5,2.9886172515967415e+34,-0.8431372549019608,-7.5,61.89709201569974,3100.8490248535854
-9.0,9.0,0.0,-18.0,4e+34,-0.8461538461538461,-9.0,63.63961030678928,3279.0940729642043
-9.0,9.5,0.5,-18.5,5.235276237922661e+34,-0.8490566037735849,-10.5,65.43126164151201,3468.9337009152787
-9.0,10.0,1.0,-19.0,6.720942995909986e+34,-0.8518518518518519,-12.0,67.26812023536856,3671.6778513100244
-8.5,-10.0,-18.5,1.5,1.015808586370765e+36,-0.4666666666666667,49.5,65.62202374203343,9658.14368474361
-8.5,-9.5,-18.0,1.0,8.276636289306538e+35,-0.5,48.0,63.73774391990981,7156.150081487856
-8.5,-9.0,-17.5,0.5,6.694716823155015e+35,-0.5294117647058824,46.5,61.89709201569974,5416.409354825506
-8.5,-8.5,-17.0,0.0,5.371802786773031e+35,-0.5555555555555556,45.0,60.10407640085653,4212.516921480314
-8.5,-8.0,-16.5,-0.5,4.272118163492811e+35,-0.5789473684210527,43.5,58.36308764964376,3381.640823485318
-8.5,-7.5,-16.0,-1.0,3.364111271903339e+35,-0.6,42.0,56.67892024377316,2807.813847451268
-8.5,-7.0,-15.5,-1.5,2.619991600004919e+35,-0.6190476190476191,40.5,55.0567888638631,2409.3590954300926
-8.5,-6.5,-15.0,-2.0,2.0153200939582397e+35,-0.6363636363636364,39.0,53.502336397581736,2129.47542689845
