alpha_4,alpha_5,alpha_sum,alpha_diff,tau_p_years,w_0,theta_23_deg,m_KK_TeV,chi_squared
-10.0,-10.0,-20.0,0.0,3.2412468454374075e+35,-0.3333333333333333,45.0,70.71067811865474,4022.9171117992464
-10.0,-9.5,-19.5,-0.5,2.822274111428105e+35,-0.38461538461538464,43.5,68.96557112066861,3687.322727979771
-10.0,-9.0,-19.0,-1.0,2.4428291789791493e+35,-0.42857142857142855,42.0,67.26812023536856,3400.3620388527784
-10.0,-8.5,-18.5,-1.5,2.10075793347901e+35,-0.4666666666666667,40.5,65.62202374203343,3154.393145768263
-10.0,-8.0,-18.0,-2.0,1.7939148373683284e+35,-0.5,39.0,64.03124237432849,2943.0479961987794
-10.0,-7.5,-17.5,-2.5,1.5201659833413253e+35,-0.5294117647058824,37.5,62.5,2761.0323733119603
-10.0,-7.0,-17.0,-3.0,1.2773924100373471e+35,-0.5555555555555556,36.0,61.03277807866851,2603.96686886901
-10.0,-6.5,-16.5,-3.5,1.0634937008365297e+35,-0.5789473684210527,34.5,59.63430220938281,2468.254693855889
-10.0,-6.0,-16.0,-4.0,8.763918880460948e+34,-0.6,33.0,58.309518948453,2350.968451936657
-10.0,-5.5,-15.5,-4.5,7.140356865811406e+34,-0.6190476190476191,31.5,57.063561052566634,2249.7513293414822
-10.0,-5.0,-15.0,-5.0,5.744050832193523e+34,-0.6363636363636364,30.0,55.90169943749475,2162.729980523354
-10.0,-4.5,-14.5,-5.5,4.555163096578122e+34,-0.6521739130434783,28.5,54.82928049865327,2088.437414992036
-10.0,-4.0,-14.0,-6.0,3.554272299382717e+34,-0.6666666666666666,27.0,53.85164807134503,2025.744775116612
-10.0,-3.5,-13.5,-6.5,2.722431753529829e+34,-0.68,25.5,52.97405025104273,1973.8012264883268
-10.0,-3.0,-13.0,-7.0,2.0412326271631e+34,-0.6923076923076923,24.0,52.20153254455275,1931.9813651120917
-10.0,-2.5,-12.5,-7.5,1.492872349097892e+34,-0.7037037037037037,22.5,51.53882032022076,1899.8396379189098
-10.0,-2.0,-12.0,-8.0,1.0602286590434296e+34,-0.7142857142857143,21.0,50.99019513592785,1877.07130954583
-10.0,-1.5,-11.5,-8.5,7.269397605970681e+33,-0.7241379310344828,19.5,50.55937104039171,1863.4795106043864
-10.0,-1.0,-11.0,-9.0,4.774910742744769e+33,-0.7333333333333333,18.0,50.24937810560445,1858.947885042886
-10.0,-0.5,-10.5,-9.5,2.9730913072980495e+33,-0.7419354838709677,16.5,50.06246098625196,1863.4183267528733
-10.0,0.0,-10.0,-10.0,1.728631912002964e+33,-0.75,15.0,49.99999999999999,1876.873265649771
-10.0,0.5,-9.5,-10.5,9.177523348249194e+32,-0.7575757575757576,13.5,50.06246098625196,1899.3219365540006
-10.0,1.0,-9.0,-11.0,4.2938997858298155e+32,-0.7647058823529411,12.0,50.24937810560445,1930.790044370641
-10.0,1.5,-8.5,-11.5,1.664884883401524e+32,-0.7714285714285715,10.5,50.55937104039171,1971.3122294091809
-10.0,2.0,-8.0,-12.0,4.739275884136794e+31,-0.7777777777777778,9.0,50.99019513592785,2020.9267399488983
-10.0,2.5,-7.5,-12.5,7.359302160714884e+30,-0.7837837837837838,7.5,51.53882032022076,2079.6717385282545
-10.0,3.0,-7.0,-13.0,1.917557262674654e+29,-0.7894736842105263,6.0,52.20153254455275,2147.582708404626
-10.0,3.5,-6.5,-13.5,1.2200242563341505e+28,-0.7948717948717948,4.5,52.97405025104273,2224.6904937568124
-10.0,4.0,-6.0,-14.0,3.179934177553544e+30,-0.8,3.0,53.85164807134503,2311.01961070525
-10.0,4.5,-5.5,-14.5,3.0370425850496183e+31,-0.8048780487804879,1.5,54.82928049865327,2406.586618327787
-10.0,5.0,-5.0,-15.0,1.288283462767769e+32,-0.8095238095238095,0.0,55.90169943749475,2511.3985549758827
-10.0,5.5,-4.5,-15.5,3.748098875603968e+32,-0.813953488372093,-1.5,57.063561052566634,2625.451744145711
-10.0,6.0,-4.0,-16.0,8.762310059363123e+32,-0.8181818181818182,-3.0,58.309518948453,2748.731678403502
-10.0,6.5,-3.5,-16.5,1.7755398102899323e+33,-0.8222222222222222,-4.5,59.63430220938281,2881.2152260851094
