alpha_4,alpha_5,alpha_6,chi_squared
-4.5,-3.0,2.375,486.21214509865746
-4.5,-3.0,3.0,486.063417362844
-4.5,-2.5,0.5,446.7762978654212
-4.5,-2.5,1.125,446.7761748782159
-4.5,-2.5,1.75,446.77555352361225
-4.5,-2.5,2.375,446.7737610238389
-4.5,-2.5,3.0,446.7698327786423
-4.5,-2.0,0.5,416.02598012856924
-4.5,-2.0,1.125,416.02597230360755
-4.5,-2.0,1.75,416.0259327693201
-4.5,-2.0,2.375,416.02581870947506
-4.5,-2.0,3.0,416.0255686948791
-4.5,-1.5,0.5,393.9109637075428
-4.5,-1.5,1.125,393.90892434836155
-4.5,-1.5,1.75,393.8986259015071
-4.5,-1.5,2.375,393.8689614146623
-4.5,-1.5,3.0,393.8041844667133
-4.5,-1.0,0.5,380.29078184992466
-4.5,-1.0,1.125,380.2713193436032
-4.5,-1.0,1.75,380.17345224919166
-4.5,-1.0,2.375,379.8954379564057
-4.5,-1.0,3.0,379.30859600249767
-4.5,-0.5,0.5,375.04656500053545
-4.5,-0.5,1.125,374.96423263316854
-4.5,-0.5,1.75,374.55661233717575
-4.5,-0.5,2.375,373.4587228088407
-4.5,-0.5,3.0,371.4581518623556
-4.5,0.0,0.5,378.09676828540427
-4.5,0.0,1.125,377.8588728548914
-4.5,0.0,1.75,376.72762913523553
-4.5,0.0,2.375,374.12526521934194
-4.5,0.0,3.0,371.8574231542972
-4.5,0.5,0.5,389.4094537237418
-4.5,0.5,1.125,388.861118088404
-4.5,0.5,1.75,386.4770546789589
-4.5,0.5,2.375,383.2134997645725
-4.5,0.5,3.0,394.841466557539
-4.5,1.0,0.5,409.0069150553724
-4.5,1.0,1.125,407.9242096012527
-4.5,1.0,1.75,404.04023779514955
-4.5,1.0,2.375,407.67676009845025
-4.5,1.0,3.0,492.76627642249656
-4.5,1.5,0.5,436.9608776577477
-4.5,1.5,1.125,435.0628261607052
-4.5,1.5,1.75,430.79709205259337
-4.5,1.5,2.375,468.3050576455162
-4.5,1.5,3.0,809.3554851144635
-4.5,2.0,0.5,473.38005654097344
-4.5,2.0,1.125,470.37763531574865
-4.5,2.0,1.75,470.5911441860578
-4.5,2.0,2.375,615.1425756128174
-4.5,2.0,3.0,1679.87005210908
-4.5,2.5,0.5,518.3943016081614
-4.5,2.5,1.125,514.1048158386363
-4.5,2.5,1.75,532.0249683711841
-4.5,2.5,2.375,954.1869704995685
-4.5,2.5,3.0,3804.4325991112487
-4.5,3.0,0.5,572.1396769570343
-4.5,3.0,1.125,566.7088841902564
-4.5,3.0,1.75,632.2170325175158
-4.5,3.0,2.375,1690.9075997070051
-4.5,3.0,3.0,8530.3716993782
-4.5,3.5,0.5,634.747195763292
-4.5,3.5,1.125,629.0401935450602
-4.5,3.5,1.75,802.6634332655929
-4.5,3.5,2.375,3197.960496999166
-4.5,3.5,3.0,18291.390634523028
-4.5,4.0,0.5,706.3359786118288
-4.5,4.0,1.125,702.5823268495594
-4.5,4.0,1.75,1098.0454604442098
-4.5,4.0,2.375,6116.771072014995
-4.5,4.0,3.0,37266.23862760121
-4.5,4.5,0.5,787.0102929745412
-4.5,4.5,1.125,789.8204963413507
-4.5,4.5,1.75,1609.0699243221977
-4.5,4.5,2.375,11505.500406789211
-4.5,4.5,3.0,72338.00855686344
-4.5,5.0,0.5,876.8594401363855
-4.5,5.0,1.125,894.7704667982835
-4.5,5.0,1.75,2480.734197283207
-4.5,5.0,2.375,21049.42662878641
-4.5,5.0,3.0,134457.97375617473
-4.0,-5.0,0.5,662.0421624967801
-4.0,-5.0,1.125,661.7700415072577
-4.0,-5.0,1.75,660.4879638724592
-4.0,-5.0,2.375,657.6570783172593
-4.0,-5.0,3.0,655.9620480270819
-4.0,-4.5,0.5,585.6816875016041
-4.0,-4.5,1.125,585.5753986201319
-4.0,-4.5,1.75,585.0523378327013
-4.0,-4.5,2.375,583.6737513499979
-4.0,-4.5,3.0,581.3299562690931
-4.0,-4.0,0.5,518.6278185950787
-4.0,-4.0,1.125,518.5974618927382
-4.0,-4.0,1.75,518.445219656878
-4.0,-4.0,2.375,518.0165594445173
-4.0,-4.0,3.0,517.1318838376535
-4.0,-3.5,0.5,460.7736197171363
-4.0,-3.5,1.125,460.7689005878892
-4.0,-3.5,1.75,460.745085195848
-4.0,-3.5,2.375,460.6766302864456
-4.0,-3.5,3.0,460.5279025506321
-4.0,-3.0,0.5,411.99121230399237
-4.0,-3.0,1.125,411.991089316787
-4.0,-3.0,1.75,411.9904679621834
-4.0,-3.0,2.375,411.9886754624101
-4.0,-3.0,3.0,411.98474721721345
-4.0,-2.5,0.5,372.1305343374873
-4.0,-2.5,1.125,372.1305265125256
-4.0,-2.5,1.75,372.1304869782382
-4.0,-2.5,2.375,372.13037291839316
-4.0,-2.5,3.0,372.1301229037972
-4.0,-2.0,0.5,341.0211784270001
-4.0,-2.0,1.125,341.01913906781874
-4.0,-2.0,1.75,341.0088406209644
-4.0,-2.0,2.375,340.97917613411954
-4.0,-2.0,3.0,340.91439918617056
-4.0,-1.5,0.5,318.4794666395858
-4.0,-1.5,1.125,318.4600041332643
-4.0,-1.5,1.75,318.3621370388528
-4.0,-1.5,2.375,318.0841227460668
-4.0,-1.5,3.0,317.4972807921588
-4.0,-1.0,0.5,304.3227059454392
-4.0,-1.0,1.125,304.2403735780723
-4.0,-1.0,1.75,303.8327532820795
-4.0,-1.0,2.375,302.7348637537445
-4.0,-1.0,3.0,300.73429280725935
-4.0,-0.5,0.5,298.39072424629916
-4.0,-0.5,1.125,298.15282881578634
-4.0,-0.5,1.75,297.0215850961304
-4.0,-0.5,2.375,294.4192211802369
-4.0,-0.5,3.0,292.1513791151921
-4.0,0.0,0.5,300.57099937313126
-4.0,0.0,1.125,300.02266373779344
-4.0,0.0,1.75,297.63860032834833
-4.0,0.0,2.375,294.3750454139619
-4.0,0.0,3.0,306.0030122069285
-4.0,0.5,0.5,310.8196073040445
-4.0,0.5,1.125,309.7369018499248
-4.0,0.5,1.75,305.85293004382163
-4.0,0.5,2.375,309.4894523471223
-4.0,0.5,3.0,394.57896867116864
-4.0,1.0,0.5,329.1694264352077
-4.0,1.0,1.125,327.2713749381652
-4.0,1.0,1.75,323.0056408300534
-4.0,1.0,2.375,360.5136064229761
-4.0,1.0,3.0,701.5640338919234
-4.0,1.5,0.5,355.72179981755386
-4.0,1.5,1.125,352.7193785923291
-4.0,1.5,1.75,352.9328874626383
-4.0,1.5,2.375,497.48431888939785
-4.0,1.5,3.0,1562.2117953856603
-4.0,2.0,0.5,390.62547728424425
-4.0,2.0,1.125,386.3359915147191
-4.0,2.0,1.75,404.2561440472669
-4.0,2.0,2.375,826.4181461756513
-4.0,2.0,3.0,3676.6637747873315
-4.0,2.5,0.5,434.0514265041454
-4.0,2.5,1.125,428.62063373736754
-4.0,2.5,1.75,494.1287820646269
-4.0,2.5,2.375,1552.8193492541163
-4.0,2.5,3.0,8392.283448925313
-4.0,3.0,0.5,486.1713167144235
-4.0,3.0,1.125,480.4643144961918
-4.0,3.0,1.75,654.0875542167244
-4.0,3.0,2.375,3049.384617950297
-4.0,3.0,3.0,18142.81475547416
-4.0,3.5,0.5,547.1433991451214
-4.0,3.5,1.125,543.3897473828521
-4.0,3.5,1.75,938.8528809775022
-4.0,3.5,2.375,5957.578492548288
-4.0,3.5,3.0,37107.04604813451
-4.0,4.0,0.5,617.1057294571713
-4.0,4.0,1.125,619.9159328239807
-4.0,4.0,1.75,1439.1653608048275
-4.0,4.0,2.375,11335.59584327184
-4.0,4.0,3.0,72168.10399334606
-4.0,4.5,0.5,696.1748453252551
-4.0,4.5,1.125,714.085871987153
-4.0,4.5,1.75,2300.0496024720765
-4.0,4.5,2.375,20868.74203397528
-4.0,4.5,3.0,134277.28916136362
-4.0,5.0,0.5,784.4478134006303
-4.0,5.0,1.125,832.2068318658719
-4.0,5.0,1.75,3746.27246632096
-4.0,5.0,2.375,37162.59070684741
-4.0,5.0,3.0,240354.42594780787
-3.5,-5.0,0.5,598.3134732436595
-3.5,-5.0,1.125,598.2071843621873
-3.5,-5.0,1.75,597.6841235747568
-3.5,-5.0,2.375,596.3055370920534
-3.5,-5.0,3.0,593.9617420111487
-3.5,-4.5,0.5,521.5671895049876
-3.5,-4.5,1.125,521.5368328026473
-3.5,-4.5,1.75,521.3845905667869
-3.5,-4.5,2.375,520.9559303544263
-3.5,-4.5,3.0,520.0712547475624
-3.5,-4.0,0.5,454.17361971713626
-3.5,-4.0,1.125,454.1689005878892
-3.5,-4.0,1.75,454.14508519584797
-3.5,-4.0,2.375,454.0766302864456
-3.5,-4.0,3.0,453.9279025506321
-3.5,-3.5,0.5,396.023156925582
-3.5,-3.5,1.125,396.02303393837667
-3.5,-3.5,1.75,396.022412583773
-3.5,-3.5,2.375,396.0206200839997
-3.5,-3.5,3.0,396.01669183880307
-3.5,-3.0,0.5,346.9790386154885
-3.5,-3.0,1.125,346.9790307905268
-3.5,-3.0,1.75,346.9789912562394
-3.5,-3.0,2.375,346.97887719639436
-3.5,-3.0,3.0,346.9786271817984
-3.5,-2.5,0.5,306.87294476765237
-3.5,-2.5,1.125,306.8709054084711
-3.5,-2.5,1.75,306.86060696161667
-3.5,-2.5,2.375,306.83094247477186
-3.5,-2.5,3.0,306.7661655268229
-3.5,-2.0,0.5,275.50347409859677
-3.5,-2.0,1.125,275.4840115922753
-3.5,-2.0,1.75,275.38614449786377
-3.5,-2.0,2.375,275.1081302050778
-3.5,-2.0,3.0,274.5212882511698
-3.5,-1.5,0.5,252.64123044429613
-3.5,-1.5,1.125,252.5588980769292
-3.5,-1.5,1.75,252.15127778093643
-3.5,-1.5,2.375,251.05338825260145
-3.5,-1.5,3.0,249.0528173061163
-3.5,-1.0,0.5,238.0452573077971
-3.5,-1.0,1.125,237.80736187728428
-3.5,-1.0,1.75,236.67611815762837
-3.5,-1.0,2.375,234.07375424173483
-3.5,-1.0,3.0,231.80591217669007
-3.5,-0.5,0.5,231.493816959981
-3.5,-0.5,1.125,230.94548132464314
-3.5,-0.5,1.75,228.56141791519804
-3.5,-0.5,2.375,225.29786300081162
-3.5,-0.5,3.0,236.92582979377815
-3.5,0.0,0.5,232.8256513431496
-3.5,0.0,1.125,231.74294588902984
-3.5,0.0,1.75,227.8589740829267
-3.5,0.0,2.375,231.4954963862274
-3.5,0.0,3.0,316.58501271027376
-3.5,0.5,0.5,241.97764872654304
-3.5,0.5,1.125,240.07959722950056
-3.5,0.5,1.75,235.81386312138872
-3.5,0.5,2.375,273.32182871431144
-3.5,0.5,3.0,614.3722561832587
-3.5,1.0,0.5,259.0003403380628
-3.5,1.0,1.125,255.99791911283802
-3.5,1.0,1.75,256.21142798314725
-3.5,1.0,2.375,400.7628594099068
-3.5,1.0,3.0,1465.4903359061693
-3.5,1.5,0.5,284.0423358411039
-3.5,1.5,1.125,279.7528500715788
-3.5,1.5,1.75,297.67300260412657
-3.5,1.5,2.375,719.8350047325109
-3.5,1.5,3.0,3570.080633344191
-3.5,2.0,0.5,317.3126230308187
-3.5,2.0,1.125,311.8818302640409
-3.5,2.0,1.75,377.38997859130023
-3.5,2.0,2.375,1436.0805457807896
-3.5,2.0,3.0,8275.544645451986
-3.5,2.5,0.5,359.03934429258743
-3.5,2.5,1.125,353.3323420743557
-3.5,2.5,1.75,526.9555817948883
-3.5,2.5,2.375,2922.252645528461
-3.5,2.5,3.0,18015.682783052325
-3.5,3.0,0.5,409.43916778244557
-3.5,3.0,1.125,405.68551602017624
-3.5,3.0,1.75,801.1486496148265
-3.5,3.0,2.375,5819.874261185611
-3.5,3.0,3.0,36969.341816771834
-3.5,3.5,0.5,468.7011659398013
-3.5,3.5,1.125,471.51136930661073
-3.5,3.5,1.75,1290.7607972874578
-3.5,3.5,2.375,11187.191279754472
-3.5,3.5,3.0,72019.69942982869
