alpha_4,alpha_5,alpha_sum,alpha_diff,tau_p_years,w_0,theta_23_deg,m_KK_TeV,chi_squared
-10.0,-10.0,-20.0,0.0,3.2412468454374075e+35,-0.3333333333333333,45.0,70.71067811865474,9500.194821339976
-10.0,-9.5,-19.5,-0.5,2.822274111428105e+35,-0.38461538461538464,43.5,68.96557112066861,8521.631622392364
-10.0,-9.0,-19.0,-1.0,2.4428291789791493e+35,-0.42857142857142855,42.0,67.26812023536856,7703.6497243287085
-10.0,-8.5,-18.5,-1.5,2.10075793347901e+35,-0.4666666666666667,40.5,65.62202374203343,7018.241715557345
-10.0,-8.0,-18.0,-2.0,1.7939148373683284e+35,-0.5,39.0,64.03124237432849,6441.722483971536
-10.0,-7.5,-17.5,-2.5,1.5201659833413253e+35,-0.5294117647058824,37.5,62.5,5954.2000872501485
-10.0,-7.0,-17.0,-3.0,1.2773924100373471e+35,-0.5555555555555556,36.0,61.03277807866851,5539.106852868722
-10.0,-6.5,-16.5,-3.5,1.0634937008365297e+35,-0.5789473684210527,34.5,59.63430220938281,5182.776908692777
-10.0,-6.0,-16.0,-4.0,8.763918880460948e+34,-0.6,33.0,58.309518948453,4874.0625370627695
-10.0,-5.5,-15.5,-4.5,7.140356865811406e+34,-0.6190476190476191,31.5,57.063561052566634,4603.984985542048
-10.0,-5.0,-15.0,-5.0,5.744050832193523e+34,-0.6363636363636364,30.0,55.90169943749475,4365.417095043483
-10.0,-4.5,-14.5,-5.5,4.555163096578122e+34,-0.6521739130434783,28.5,54.82928049865327,4152.7960238607
-10.0,-4.0,-14.0,-6.0,3.554272299382717e+34,-0.6666666666666666,27.0,53.85164807134503,3961.86481216216
-10.0,-3.5,-13.5,-6.5,2.722431753529829e+34,-0.68,25.5,52.97405025104273,3789.441735095512
-10.0,-3.0,-13.0,-7.0,2.0412326271631e+34,-0.6923076923076923,24.0,52.20153254455275,3633.216437768793
-10.0,-2.5,-12.5,-7.5,1.492872349097892e+34,-0.7037037037037037,22.5,51.53882032022076,3491.5717915774803
-10.0,-2.0,-12.0,-8.0,1.0602286590434296e+34,-0.7142857142857143,21.0,50.99019513592785,3363.4302946608236
-10.0,-1.5,-11.5,-8.5,7.269397605970681e+33,-0.7241379310344828,19.5,50.55937104039171,3248.123683212626
-10.0,-1.0,-11.0,-9.0,4.774910742744769e+33,-0.7333333333333333,18.0,50.24937810560445,3145.2842418769796
-10.0,-0.5,-10.5,-9.5,2.9730913072980495e+33,-0.7419354838709677,16.5,50.06246098625196,3054.7561141171163
-10.0,0.0,-10.0,-10.0,1.728631912002964e+33,-0.75,15.0,49.99999999999999,2976.524729265751
-10.0,0.5,-9.5,-10.5,9.177523348249194e+32,-0.7575757575757576,13.5,50.06246098625196,2910.662293413555
-10.0,1.0,-9.0,-11.0,4.2938997858298155e+32,-0.7647058823529411,12.0,50.24937810560445,2857.2871480589474
-10.0,1.5,-8.5,-11.5,1.664884883401524e+32,-0.7714285714285715,10.5,50.55937104039171,2816.5346962657713
-10.0,2.0,-8.0,-12.0,4.739275884136794e+31,-0.7777777777777778,9.0,50.99019513592785,2788.5375457935465
-10.0,2.5,-7.5,-12.5,7.359302160714884e+30,-0.7837837837837838,7.5,51.53882032022076,2773.4125405288733
-10.0,3.0,-7.0,-13.0,1.917557262674654e+29,-0.7894736842105263,6.0,52.20153254455275,2771.2524687107343
-10.0,3.5,-6.5,-13.5,1.2200242563341505e+28,-0.7948717948717948,4.5,52.97405025104273,2782.120478506512
-10.0,4.0,-6.0,-14.0,3.179934177553544e+30,-0.8,3.0,53.85164807134503,2806.0456359981945
-10.0,4.5,-5.5,-14.5,3.0370425850496183e+31,-0.8048780487804879,1.5,54.82928049865327,2843.018674511365
-10.0,5.0,-5.0,-15.0,1.288283462767769e+32,-0.8095238095238095,0.0,55.90169943749475,2892.9878653085116
-10.0,5.5,-4.5,-15.5,3.748098875603968e+32,-0.813953488372093,-1.5,57.063561052566634,2955.8561585040065
-10.0,6.0,-4.0,-16.0,8.762310059363123e+32,-0.8181818181818182,-3.0,58.309518948453,3031.48238507891
-10.0,6.5,-3.5,-16.5,1.7755398102899323e+33,-0.8222222222222222,-4.5,59.63430220938281,3119.6914792726207
-10.0,7.0,-3.0,-17.0,3.25283306263682e+33,-0.8260869565217391,-6.0,61.03277807866851,3220.3014999636507
-10.0,7.5,-2.5,-17.5,5.529238685161881e+33,-0.8297872340425532,-7.5,62.5,3333.1788503339253
-10.0,8.0,-2.0,-18.0,8.870588299802989e+33,-0.8333333333333334,-9.0,64.03124237432849,3458.3376988830696
-10.0,8.5,-1.5,-18.5,1.3591406184410678e+34,-0.8367346938775511,-10.5,65.62202374203343,3596.1054114194058
-10.0,9.0,-1.0,-19.0,2.005924364054581e+34,-0.84,-12.0,67.26812023536856,3747.383078622085
-10.0,9.5,-0.5,-19.5,2.869939066164242e+34,-0.8431372549019608,-13.5,68.96557112066861,3914.039288261729
-10.0,10.0,0.0,-20.0,4e+34,-0.8461538461538461,-15.0,70.71067811865474,4099.486533332277
-9.5,-10.0,-19.5,0.5,2.822274111428105e+35,-0.38461538461538464,46.5,68.96557112066861,8515.031622392364
-9.5,-9.5,-19.0,0.0,2.4428291789791493e+35,-0.42857142857142855,45.0,67.175144212722,7686.811092453264
-9.5,-9.0,-18.5,-0.5,2.10075793347901e+35,-0.4666666666666667,43.5,65.43126164151201,6991.190907110214
-9.5,-8.5,-18.0,-1.0,1.7939148373683284e+35,-0.5,42.0,63.73774391990981,6404.48672547084
-9.5,-8.0,-17.5,-1.5,1.5201659833413253e+35,-0.5294117647058824,40.5,62.09871174187111,5906.807172669857
-9.5,-7.5,-17.0,-2.0,1.2773924100373471e+35,-0.5555555555555556,39.0,60.51859218455102,5481.584875286368
-9.5,-7.0,-16.5,-2.5,1.0634937008365297e+35,-0.5789473684210527,37.5,59.002118606029725,5115.15391851122
-9.5,-6.5,-16.0,-3.0,8.763918880460948e+34,-0.6,36.0,57.554322166106694,4796.366119365675
-9.5,-6.0,-15.5,-3.5,7.140356865811406e+34,-0.6190476190476191,34.5,56.180512635610576,4516.241751835307
-9.5,-5.5,-15.0,-4.0,5.744050832193523e+34,-0.6363636363636364,33.0,54.886246000250374,4267.652088948327
-9.5,-5.0,-14.5,-4.5,4.555163096578122e+34,-0.6521739130434783,31.5,53.67727638395971,4045.032046491514
-9.5,-4.5,-14.0,-5.0,3.554272299382717e+34,-0.6666666666666666,30.0,52.55949010407159,3844.121680982164
-9.5,-4.0,-13.5,-5.5,2.722431753529829e+34,-0.68,28.5,51.53882032022076,3661.7354997150323
-9.5,-3.5,-13.0,-6.0,2.0412326271631e+34,-0.6923076923076923,27.0,50.62114182829147,3495.5585867082305
-9.5,-3.0,-12.5,-6.5,1.492872349097892e+34,-0.7037037037037037,25.5,49.81214711292819,3343.968494217589
-9.5,-2.5,-12.0,-7.0,1.0602286590434296e+34,-0.7142857142857143,24.0,49.11720676097125,3205.8817307230847
-9.5,-2.0,-11.5,-7.5,7.269397605970681e+33,-0.7241379310344828,22.5,48.54121959736899,3080.6235161492505
-9.5,-1.5,-11.0,-8.0,4.774910742744769e+33,-0.7333333333333333,21.0,48.08846015417836,2967.8192906098234
-9.5,-1.0,-10.5,-8.5,2.9730913072980495e+33,-0.7419354838709677,19.5,47.762432936356994,2867.3062683915387
-9.5,-0.5,-10.0,-9.0,1.728631912002964e+33,-0.75,18.0,47.56574397610111,2779.0631373971946
-9.5,0.0,-9.5,-9.5,9.177523348249194e+32,-0.7575757575757576,16.5,47.5,2703.1558288379406
-9.5,0.5,-9.0,-10.0,4.2938997858298155e+32,-0.7647058823529411,15.0,47.56574397610111,2639.697135771215
-9.5,1.0,-8.5,-10.5,1.664884883401524e+32,-0.7714285714285715,13.5,47.762432936356994,2588.8178558379623
-9.5,1.5,-8.0,-11.0,4.739275884136794e+31,-0.7777777777777778,12.0,48.08846015417836,2550.6470881931687
-9.5,2.0,-7.5,-11.5,7.359302160714884e+30,-0.7837837837837838,10.5,48.54121959736899,2525.299344504557
-9.5,2.5,-7.0,-12.0,1.917557262674654e+29,-0.7894736842105263,9.0,49.11720676097125,2512.8662605204327
-9.5,3.0,-6.5,-12.5,1.2200242563341505e+28,-0.7948717948717948,7.5,49.81214711292819,2513.4109457661416
-9.5,3.5,-6.0,-13.0,3.179934177553544e+30,-0.8,6.0,50.62114182829147,2526.96342033499
-9.5,4.0,-5.5,-13.5,3.0370425850496183e+31,-0.8048780487804879,4.5,51.53882032022076,2553.516205492744
-9.5,4.5,-5.0,-14.0,1.288283462767769e+32,-0.8095238095238095,3.0,52.55949010407159,2593.0200166423388
-9.5,5.0,-4.5,-14.5,3.748098875603968e+32,-0.813953488372093,1.5,53.67727638395971,2645.3807241813442
-9.5,5.5,-4.0,-15.0,8.762310059363123e+32,-0.8181818181818182,0.0,54.886246000250374,2710.460386294025
-9.5,6.0,-3.5,-15.5,1.7755398102899323e+33,-0.8222222222222222,-1.5,56.180512635610576,2788.0873219283676
-9.5,6.5,-3.0,-16.0,3.25283306263682e+33,-0.8260869565217391,-3.0,57.554322166106694,2878.083007482742
-9.5,7.0,-2.5,-16.5,5.529238685161881e+33,-0.8297872340425532,-4.5,59.002118606029725,2980.3171980007614
-9.5,7.5,-2.0,-17.0,8.870588299802989e+33,-0.8333333333333334,-6.0,60.51859218455102,3094.807274926845
-9.5,8.0,-1.5,-17.5,1.3591406184410678e+34,-0.8367346938775511,-7.5,62.09871174187111,3221.883627420299
-9.5,8.5,-1.0,-18.0,2.005924364054581e+34,-0.84,-9.0,63.73774391990981,3362.4501483571084
-9.5,9.0,-0.5,-18.5,2.869939066164242e+34,-0.8431372549019608,-10.5,65.43126164151201,3518.377990397091
-9.5,9.5,0.0,-19.0,4e+34,-0.8461538461538461,-12.0,67.175144212722,3693.081969814907
-9.5,10.0,0.5,-19.5,5.451766229462778e+34,-0.8490566037735849,-13.5,68.96557112066861,3892.3428951104133
-9.0,-10.0,-19.0,1.0,2.4428291789791493e+35,-0.42857142857142855,48.0,67.26812023536856,7690.449724328708
-9.0,-9.5,-18.5,0.5,2.10075793347901e+35,-0.4666666666666667,46.5,65.43126164151201,6984.590907110213
-9.0,-9.0,-18.0,0.0,1.7939148373683284e+35,-0.5,45.0,63.63961030678928,6387.676460343002
-9.0,-8.5,-17.5,-0.5,1.5201659833413253e+35,-0.5294117647058824,43.5,61.89709201569974,5879.816081163801
-9.0,-8.0,-17.0,-1.0,1.2773924100373471e+35,-0.5555555555555556,42.0,60.20797289396148,5444.443281384611
-9.0,-7.5,-16.5,-1.5,1.0634937008365297e+35,-0.5789473684210527,40.5,58.5768725692999,5067.892771713234
-9.0,-7.0,-16.0,-2.0,8.763918880460948e+34,-0.6,39.0,57.00877125495689,4739.016649376998
-9.0,-6.5,-15.5,-2.5,7.140356865811406e+34,-0.6190476190476191,37.5,55.50900827793629,4448.835025802515
-9.0,-6.0,-15.0,-3.0,5.744050832193523e+34,-0.6363636363636364,36.0,54.083269131959845,4190.218461723925
-9.0,-5.5,-14.5,-3.5,4.555163096578122e+34,-0.6521739130434783,34.5,52.73755777432246,3957.6004988445193
-9.0,-5.0,-14.0,-4.0,3.554272299382717e+34,-0.6666666666666666,33.0,51.478150704935004,3746.719047677416
-9.0,-4.5,-13.5,-4.5,2.722431753529829e+34,-0.68,31.5,50.31152949374526,3554.385599260647
-9.0,-4.0,-13.0,-5.0,2.0412326271631e+34,-0.6923076923076923,30.0,49.244289008980516,3378.2812772144403
-9.0,-3.5,-12.5,-5.5,1.492872349097892e+34,-0.7037037037037037,28.5,48.28301978956992,3216.77869449606
-9.0,-3.0,-12.0,-6.0,1.0602286590434296e+34,-0.7142857142857143,27.0,47.43416490252569,3068.788460944535
-9.0,-2.5,-11.5,-6.5,7.269397605970681e+33,-0.7241379310344828,25.5,46.703854230673514,2933.6290256660764
-9.0,-2.0,-11.0,-7.0,4.774910742744769e+33,-0.7333333333333333,24.0,46.09772228646444,2810.9183488822505
-9.0,-1.5,-10.5,-7.5,2.9730913072980495e+33,-0.7419354838709677,22.5,45.62071897723665,2700.4856951667007
-9.0,-1.0,-10.0,-8.0,1.728631912002964e+33,-0.75,21.0,45.27692569068709,2602.3016379669725
-9.0,-0.5,-9.5,-8.5,9.177523348249194e+32,-0.7575757575757576,19.5,45.069390943299865,2516.4241786497914
-9.0,0.0,-9.0,-9.0,4.2938997858298155e+32,-0.7647058823529411,18.0,45.0,2442.9587276397715
-9.0,0.5,-8.5,-9.5,1.664884883401524e+32,-0.7714285714285715,16.5,45.069390943299865,2382.0295867997766
-9.0,1.0,-8.0,-10.0,4.739275884136794e+31,-0.7777777777777778,15.0,45.27692569068709,2333.760527742371
