alpha_4,alpha_5,alpha_6,chi_squared
-0.8,-0.3999999999999999,0.5,36.344913650482106
-0.8,-0.3999999999999999,1.125,30.575401421761867
-0.8,-0.3999999999999999,1.75,150.91400529942186
-0.8,-0.3999999999999999,2.375,1896.8537515234207
-0.8,-0.3999999999999999,3.0,12991.684629617655
-0.8,-0.29999999999999993,0.5,36.055762592486744
-0.8,-0.29999999999999993,1.125,30.28117963075863
-0.8,-0.29999999999999993,1.75,175.29754031261896
-0.8,-0.29999999999999993,2.375,2223.582994305728
-0.8,-0.29999999999999993,3.0,15182.170506233097
-0.8,-0.19999999999999996,0.5,35.87423577352633
-0.8,-0.19999999999999996,1.125,30.16723355529461
-0.8,-0.19999999999999996,1.75,203.7904732758272
-0.8,-0.19999999999999996,2.375,2599.0875370094
-0.8,-0.19999999999999996,3.0,17692.517674533265
-0.8,-0.09999999999999998,0.5,35.769009163817024
-0.8,-0.09999999999999998,1.125,30.21558320901808
-0.8,-0.09999999999999998,1.75,236.8848167001767
-0.8,-0.09999999999999998,2.375,3029.4719071721233
-0.8,-0.09999999999999998,3.0,20562.650100577604
-0.8,0.0,0.5,35.71840179207948
-0.8,0.0,1.125,30.419478149616715
-0.8,0.0,1.75,275.1385191979682
-0.8,0.0,2.375,3521.5012879406263
-0.8,0.0,3.0,23836.726032353912
-0.8,0.10000000000000009,0.5,35.714584696497106
-0.8,0.10000000000000009,1.125,30.787750803365142
-0.8,0.10000000000000009,1.75,319.18466261988675
-0.8,0.10000000000000009,2.375,4082.6631881637445
-0.8,0.10000000000000009,3.0,27563.51472159053
-0.8,0.20000000000000018,0.5,35.765237885305716
-0.8,0.20000000000000018,1.125,31.34662831521375
-0.8,0.20000000000000018,1.75,369.73846878896904
-0.8,0.20000000000000018,2.375,4721.230722775394
-0.8,0.20000000000000018,3.0,31796.797572117284
-0.8,0.30000000000000004,0.5,35.89189377059951
-0.8,0.30000000000000004,1.125,32.13824200833017
-0.8,0.30000000000000004,1.75,427.60137560298034
-0.8,0.30000000000000004,2.375,5446.326987173766
